Município;Mun_Total de casos;Mun_Total de óbitos;Letalidade Mun;Cód IBGE;Latitude;Longitude;;
Adamantina;1;0;0,0%;3500105;-21,682;-51,0737;;
Águas de Lindóia;1;1;100,0%;3500501;-22,4733;-46,6314;;
Águas de São Pedro;1;0;0,0%;3500600;-22,5977;-47,8734;;
Agudos;4;1;25,0%;3500709;-22,4694;-48,9863;;
Americana;15;2;13,3%;3501608;-22,7374;-47,3331;;
Américo Brasiliense;3;0;0,0%;3501707;-21,7288;-48,1147;;
Amparo;4;0;0,0%;3501905;-22,7088;-46,772;;
Andradina;1;0;0,0%;3502101;-20,8948;-51,3786;;
Apiaí;1;0;0,0%;3502705;-24,5108;-48,8443;;
Araçariguama;1;0;0,0%;3502754;-23,4366;-47,0608;;
Araçatuba;28;0;0,0%;3502804;-21,2076;-50,4401;;
Araçoiaba da Serra;1;0;0,0%;3502903;-23,5029;-47,6166;;
Araraquara;27;2;7,4%;3503208;-21,7845;-48,178;;
Araras;6;0;0,0%;3503307;-22,3572;-47,3842;;
Artur Nogueira;1;0;0,0%;3503802;-22,5727;-47,1727;;
Arujá;15;1;6,7%;3503901;-23,3965;-46,32;;
Assis;6;1;16,7%;3504008;-22,66;-50,4183;;
Atibaia;14;1;7,1%;3504107;-23,1171;-46,5563;;
Avaré;5;1;20,0%;3504503;-23,1067;-48,9251;;
Bady Bassitt;2;0;0,0%;3504602;-20,9197;-49,4385;;
Bariri;1;0;0,0%;3505203;-22,073;-48,7438;;
Barra do Turvo;1;0;0,0%;3505401;-24,759;-48,5013;;
Barretos;6;0;0,0%;3505500;-20,5531;-48,5698;;
Barueri;64;4;6,3%;3505708;-23,5057;-46,879;;
Batatais;1;0;0,0%;3505906;-20,8929;-47,5921;;
Bauru;21;2;9,5%;3506003;-22,3246;-49,0871;;
Bebedouro;1;0;0,0%;3506102;-20,9491;-48,4791;;
Bilac;1;0;0,0%;3506409;-21,404;-50,4746;;
Birigui;6;0;0,0%;3506508;-21,291;-50,3432;;
Boituva;4;0;0,0%;3507001;-23,2855;-47,6786;;
Botucatu;23;2;8,7%;3507506;-22,8837;-48,4437;;
Bragança Paulista;28;5;17,9%;3507605;-22,9527;-46,5419;;
Brodowski;3;0;0,0%;3507803;-20,9845;-47,6572;;
Buritama;1;0;0,0%;3508108;-21,0661;-50,1475;;
Caçapava;5;0;0,0%;3508504;-23,0992;-45,7076;;
Cachoeira Paulista;1;0;0,0%;3508603;-22,6665;-45,0154;;
Caiabu;1;1;100,0%;3508900;-22,0127;-51,2394;;
Caieiras;42;6;14,3%;3509007;-23,3607;-46,7397;;
Cajamar;5;1;20,0%;3509205;-23,355;-46,8781;;
Cajuru;2;0;0,0%;3509403;-21,2749;-47,303;;
Campinas;142;5;3,5%;3509502;-22,9053;-47,0659;;
Campos do Jordão;1;0;0,0%;3509700;-22,7296;-45,5833;;
Capão Bonito;1;0;0,0%;3510203;-24,0113;-48,3482;;
Caraguatatuba;4;2;50,0%;3510500;-23,6125;-45,4125;;
Carapicuíba;43;2;4,7%;3510609;-23,5235;-46,8407;;
Catanduva;6;2;33,3%;3511102;-21,1314;-48,977;;
Cedral;1;0;0,0%;3511300;-20,9009;-49,2664;;
Conchas;1;0;0,0%;3512308;-23,0154;-48,0134;;
Cotia;70;4;5,7%;3513009;-23,6022;-46,919;;
Cravinhos;6;1;16,7%;3513108;-21,338;-47,7324;;
Cruzeiro;1;0;0,0%;3513405;-22,5728;-44,969;;
Cubatão;4;0;0,0%;3513504;-23,8911;-46,424;;
Diadema;94;2;2,1%;3513801;-23,6813;-46,6205;;
